HokinRight_Hand
Dev2/ai0 Dev2/ai1
[-3.65142524e-02  2.59856877e-01  1.69204497e+09]
[-2.73738954e-02  2.76066213e-01  1.69204497e+09]
[-2.36914494e-02  2.86982034e-01  1.69204497e+09]
[-1.84965702e-02  2.87968403e-01  1.69204497e+09]
[-1.00137929e-02  2.84910658e-01  1.69204497e+09]
[-7.91238478e-04  2.78071831e-01  1.69204497e+09]
[-8.43403688e-05  2.74093474e-01  1.69204497e+09]
[-3.50218961e-05  2.70460347e-01  1.69204497e+09]
[-1.00779860e-04  2.69457538e-01  1.69204497e+09]
[-6.79008779e-05  2.67977984e-01  1.69204497e+09]
[-6.79008779e-05  2.70739819e-01  1.69204497e+09]
[-1.85824052e-05  2.75819621e-01  1.69204497e+09]
[-1.33658842e-04  2.84170881e-01  1.69204497e+09]
[-5.14613870e-05  3.13909916e-01  1.69204497e+09]
[-3.50218961e-05  3.28425985e-01  1.69204497e+09]
[-1.17219351e-04  3.58329414e-01  1.69204497e+09]
[-1.50098332e-04  3.64083235e-01  1.69204497e+09]
[-1.00779860e-04  3.57425242e-01  1.69204497e+09]
[-2.14291431e-06  3.53479765e-01  1.69204497e+09]
[-1.50098332e-04  3.49287696e-01  1.69204497e+09]
[-2.14291431e-06  3.39473321e-01  1.69204497e+09]
[-5.14613870e-05  2.79830856e-01  1.69204497e+09]
[-1.27920669e-02  1.07906673e-01  1.69204497e+09]
[-9.05508601e-02  3.90087688e-02  1.69204497e+09]
[-1.77384254e-01 -1.53101557e-03  1.69204497e+09]
[-2.31979806e-01 -1.94200284e-03  1.69204497e+09]
[-2.54008725e-01 -2.10639775e-03  1.69204497e+09]
[-2.71385268e-01 -2.17215571e-03  1.69204497e+09]
[-2.86476722e-01 -2.35299011e-03  1.69204497e+09]
[-2.99463920e-01 -2.36942961e-03  1.69204497e+09]
[-2.99792710e-01 -2.38586910e-03  1.69204497e+09]
[-3.00154379e-01 -2.32011113e-03  1.69204497e+09]
[-2.97770653e-01 -2.46806655e-03  1.69204497e+09]
[-2.97441863e-01 -2.48450604e-03  1.69204497e+09]
[-2.91622283e-01 -2.48450604e-03  1.69204497e+09]
[-2.89912576e-01 -2.56670350e-03  1.69204497e+09]
[-2.78569326e-01 -2.58314299e-03  1.69204497e+09]
[-2.59762547e-01 -2.56670350e-03  1.69204497e+09]
[-2.34462169e-01 -2.58314299e-03  1.69204497e+09]
[-2.09786492e-01 -2.61602197e-03  1.69204497e+09]
[-2.02421600e-01 -2.63246146e-03  1.69204497e+09]
[-1.97719905e-01 -2.74753790e-03  1.69204497e+09]
[-1.89582357e-01 -2.74753790e-03  1.69204497e+09]
[-1.69674133e-01  2.38844373e-02  1.69204497e+09]
[-1.48401430e-01  3.35015394e-02  1.69204497e+09]
[-1.27819187e-01  3.20877432e-02  1.69204497e+09]
[-1.31156404e-01  2.44269405e-02  1.69204497e+09]
[-1.16788288e-01  1.64373479e-02  1.69204497e+09]
[-7.63800186e-02  1.32316472e-02  1.69204497e+09]
[-2.22612137e-02  7.48139792e-02  1.69204497e+09]
[-8.43403688e-05  2.20385663e-01  1.69204497e+09]
[-5.14613870e-05  2.67846469e-01  1.69204497e+09]
[-1.00779860e-04  2.73600290e-01  1.69204497e+09]
[-1.00779860e-04  2.78137589e-01  1.69204497e+09]
[-8.43403688e-05  2.78614334e-01  1.69204497e+09]
[-2.14291430e-06  2.52771457e-01  1.69204497e+09]
[-8.43403688e-05  1.60989787e-01  1.69204497e+09]
[-6.79008779e-05  5.77991065e-02  1.69204497e+09]
[-3.50218961e-05 -1.81048691e-03  1.69204497e+09]
[-5.83787757e-02 -1.94200284e-03  1.69204497e+09]
[-1.67175330e-01 -1.95844233e-03  1.69204497e+09]
[-2.27590462e-01 -2.05707928e-03  1.69204497e+09]
[-2.58282993e-01 -2.05707928e-03  1.69204497e+09]
[-2.75462262e-01 -2.08995826e-03  1.69204497e+09]
[-2.83895722e-01 -2.08995826e-03  1.69204497e+09]
[-2.92148346e-01 -2.18859521e-03  1.69204497e+09]
[-2.96225340e-01 -2.12283724e-03  1.69204497e+09]
[-2.96274659e-01 -2.18859521e-03  1.69204497e+09]
[-2.96241780e-01 -2.12283724e-03  1.69204497e+09]
[-2.89583786e-01 -2.13927673e-03  1.69204497e+09]
[-2.73834752e-01 -2.20503470e-03  1.69204497e+09]
[-2.49109757e-01 -2.12283724e-03  1.69204497e+09]
[-2.38243253e-01 -2.18859521e-03  1.69204497e+09]
[-2.40725616e-01 -1.62965251e-03  1.69204497e+09]
[-2.46413680e-01 -1.92556335e-03  1.69204498e+09]
[-2.31503061e-01 -2.07351877e-03  1.69204498e+09]
[-1.95467695e-01 -2.13927673e-03  1.69204498e+09]
[-1.62555833e-01 -2.17215571e-03  1.69204498e+09]
[-1.58692552e-01 -2.18859521e-03  1.69204498e+09]
[-1.24070983e-01 -2.18859521e-03  1.69204498e+09]
[-4.67889344e-02 -2.28723215e-03  1.69204498e+09]
[-5.14613870e-05  4.49598644e-02  1.69204498e+09]
[-6.79008779e-05  1.70458933e-01  1.69204498e+09]
[-6.79008779e-05  2.30232917e-01  1.69204498e+09]
[-8.43403688e-05  2.51900164e-01  1.69204498e+09]
[-6.79008779e-05  2.60202106e-01  1.69204498e+09]
[-6.79008779e-05  2.71183685e-01  1.69204498e+09]
[-5.14613870e-05  2.79534945e-01  1.69204498e+09]
[-3.50218961e-05  2.83316028e-01  1.69204498e+09]
[-3.50218961e-05  2.83020117e-01  1.69204498e+09]
[-5.14613870e-05  2.81951550e-01  1.69204498e+09]
[-1.85824052e-05  2.77447130e-01  1.69204498e+09]
[3.07360675e-05 2.66728583e-01 1.69204498e+09]
[-1.33658842e-04  1.92339894e-01  1.69204498e+09]
[-5.14613870e-05  5.30645333e-02  1.69204498e+09]
[-3.50218961e-05 -6.43283060e-04  1.69204498e+09]
