HokinRight_Hand
Dev2/ai0 Dev2/ai1
[-3.40647683e-02  2.59886921e-02  1.69204424e+09]
[-2.25900035e-02  1.98896410e-02  1.69204424e+09]
[-1.40907867e-02  1.71771250e-02  1.69204424e+09]
[-1.04740986e-02  1.68812142e-02  1.69204424e+09]
[-8.59999667e-03  1.70949276e-02  1.69204424e+09]
[-7.77802212e-03  1.77853862e-02  1.69204424e+09]
[-4.32572903e-03  1.76538703e-02  1.69204424e+09]
[-3.38867804e-03  1.72264435e-02  1.69204424e+09]
[-8.51779922e-03  1.69469722e-02  1.69204424e+09]
[-7.18591585e-02  1.47769594e-02  1.69204424e+09]
[-2.02175008e-01  1.46454434e-02  1.69204424e+09]
[-2.90076970e-01  9.84511212e-03  1.69204424e+09]
[-3.36633612e-01  5.88319482e-03  1.69204424e+09]
[-3.65534239e-01  5.76811839e-03  1.69204424e+09]
[-3.89387942e-01  6.62297191e-03  1.69204424e+09]
[-4.22924505e-01  7.82305475e-03  1.69204424e+09]
[-4.57398120e-01  8.46419489e-03  1.69204424e+09]
[-4.95126755e-01  3.82825846e-03  1.69204424e+09]
[-5.08393425e-01 -2.15856296e-04  1.69204424e+09]
[-4.98316016e-01 -5.61085605e-04  1.69204424e+09]
[-4.72785485e-01 -7.58359496e-04  1.69204424e+09]
[-4.29418105e-01 -8.24117460e-04  1.69204424e+09]
[-3.33822459e-01  1.11109529e-02  1.69204424e+09]
[-1.84436796e-01  6.48187690e-02  1.69204424e+09]
[-8.32681654e-02  1.09271151e-01  1.69204424e+09]
[-1.67704237e-02  1.49186233e-01  1.69204424e+09]
[-1.33658842e-04  2.10143861e-01  1.69204424e+09]
[-5.14613870e-05  2.56848450e-01  1.69204424e+09]
[-1.99416805e-04  2.91568651e-01  1.69204424e+09]
[-2.59958248e-03  3.14518177e-01  1.69204424e+09]
[-3.24072262e-03  3.31582367e-01  1.69204424e+09]
[-6.13407303e-03  3.42448868e-01  1.69204424e+09]
[-8.46848074e-03  3.48021855e-01  1.69204424e+09]
[-9.02742344e-03  3.45786085e-01  1.69204424e+09]
[-1.13289522e-02  3.41363862e-01  1.69204424e+09]
[-1.28742643e-02  3.33440029e-01  1.69204424e+09]
[-1.30222197e-02  3.27801284e-01  1.69204424e+09]
[-1.22988821e-02  3.23263985e-01  1.69204424e+09]
[-1.08028885e-02  3.19186992e-01  1.69204424e+09]
[-1.15426656e-02  3.17280012e-01  1.69204424e+09]
[-1.08850859e-02  3.09175344e-01  1.69204424e+09]
[-9.61924511e-03  2.80028130e-01  1.69204424e+09]
[-9.61924511e-03  1.78415646e-01  1.69204424e+09]
[-5.59156983e-03  5.24069536e-02  1.69204424e+09]
[-3.12564619e-03  4.46939861e-03  1.69204424e+09]
[-2.68478317e-02  7.04755195e-04  1.69204424e+09]
[-1.06464288e-01  6.55436722e-04  1.69204424e+09]
[-1.78271987e-01  4.41723340e-04  1.69204424e+09]
[-2.18071996e-01  3.92404867e-04  1.69204424e+09]
[-2.36829456e-01  4.08844358e-04  1.69204424e+09]
[-2.47876795e-01  3.43086395e-04  1.69204424e+09]
[-2.46726030e-01  3.26646904e-04  1.69204424e+09]
[-2.39640609e-01  3.61454508e-03  1.69204424e+09]
[-2.01583186e-01 -2.92837230e-03  1.69204424e+09]
[-1.28082219e-01 -6.03543608e-03  1.69204424e+09]
[-5.92993872e-02 -5.77240423e-03  1.69204424e+09]
[-1.52744300e-02  2.63503609e-02  1.69204424e+09]
[-8.43403688e-05  6.28460302e-02  1.69204424e+09]
[-5.14613870e-05  6.50653614e-02  1.69204424e+09]
[-1.00779860e-04  3.85649025e-02  1.69204424e+09]
[-8.43403688e-05  7.79017577e-03  1.69204424e+09]
[-6.79008779e-05  3.75965377e-04  1.69204424e+09]
[-1.17219351e-04 -2.48735278e-04  1.69204424e+09]
[-5.14613870e-05 -1.50098332e-04  1.69204424e+09]
[-5.14613870e-05 -2.81614260e-04  1.69204424e+09]
[-1.33658842e-04 -2.65174769e-04  1.69204424e+09]
[-1.00779860e-04 -1.99416805e-04  1.69204424e+09]
[-6.79008779e-05 -2.32295787e-04  1.69204424e+09]
[-5.14613870e-05 -1.00779860e-04  1.69204424e+09]
[-6.79008779e-05 -1.66537823e-04  1.69204424e+09]
[-1.17219351e-04  6.84354569e-02  1.69204424e+09]
[-3.50218961e-05  1.11474043e-01  1.69204424e+09]
[-8.43403688e-05  1.32450832e-01  1.69204424e+09]
[-1.17219351e-04  1.57060749e-01  1.69204424e+09]
[-1.17219351e-04  1.85681901e-01  1.69204424e+09]
[-1.85824052e-05  2.09749313e-01  1.69204424e+09]
[1.42965766e-05 2.25185994e-01 1.69204424e+09]
[-3.50218961e-05  2.36266210e-01  1.69204424e+09]
[-1.85824052e-05  2.35444235e-01  1.69204424e+09]
[-5.14613870e-05  2.25268191e-01  1.69204424e+09]
[-5.14613870e-05  2.12313874e-01  1.69204424e+09]
[-6.79008779e-05  1.99523951e-01  1.69204424e+09]
[-8.43403688e-05  1.76015481e-01  1.69204424e+09]
[-6.79008779e-05  1.04142030e-01  1.69204424e+09]
[-5.14613870e-05  3.83840681e-02  1.69204424e+09]
[-1.17219351e-04  9.02029085e-04  1.69204424e+09]
[-1.18056974e-02  2.85532527e-02  1.69204424e+09]
[-6.74698143e-02  9.78457053e-02  1.69204424e+09]
[-1.16706091e-01  1.34719482e-01  1.69204424e+09]
[-1.68654884e-01  1.55235965e-01  1.69204424e+09]
[-2.07402766e-01  1.78678678e-01  1.69204424e+09]
[-2.27458946e-01  1.98619779e-01  1.69204424e+09]
[-2.43273737e-01  2.24117427e-01  1.69204424e+09]
[-2.53942967e-01  2.55056546e-01  1.69204424e+09]
[-2.58118598e-01  2.86028543e-01  1.69204424e+09]
[-2.59104968e-01  3.04868198e-01  1.69204424e+09]
[-2.64102573e-01  3.17280012e-01  1.69204424e+09]
[-2.65762962e-01  3.25286042e-01  1.69204424e+09]
[-2.63149083e-01  3.31878277e-01  1.69204424e+09]
[-2.59910503e-01  3.40772041e-01  1.69204424e+09]
[-2.56441770e-01  3.50356262e-01  1.69204424e+09]
[-2.54025165e-01  3.54203103e-01  1.69204424e+09]
[-2.50868782e-01  3.56964937e-01  1.69204424e+09]
[-2.48369980e-01  3.59184268e-01  1.69204424e+09]
[-2.45345113e-01  3.61041930e-01  1.69204424e+09]
[-2.44276546e-01  3.61535114e-01  1.69204424e+09]
[-2.48649451e-01  3.59348662e-01  1.69204424e+09]
[-2.49389228e-01  3.56899179e-01  1.69204424e+09]
[-2.52118184e-01  3.55978567e-01  1.69204424e+09]
[-2.53268948e-01  3.55008638e-01  1.69204424e+09]
[-2.53827891e-01  3.53463326e-01  1.69204424e+09]
[-2.54616986e-01  3.51293313e-01  1.69204424e+09]
[-2.56260936e-01  3.49945275e-01  1.69204424e+09]
[-2.53581298e-01  3.47841021e-01  1.69204424e+09]
[-2.49816655e-01  3.44651760e-01  1.69204424e+09]
[-2.45821858e-01  3.41018633e-01  1.69204424e+09]
