HokinRight_Hand
Dev2/ai0 Dev2/ai1
[-4.29285004e-03  4.92970435e-03  1.69204417e+09]
[-1.20358503e-02  3.17067883e-03  1.69204417e+09]
[-2.66505578e-02  2.64461512e-03  1.69204417e+09]
[-5.91185528e-02  8.69150104e-04  1.69204417e+09]
[-9.48580068e-02 -2.99413026e-03  1.69204417e+09]
[-1.02453052e-01 -3.35579906e-03  1.69204417e+09]
[-1.18941862e-01 -3.37223855e-03  1.69204417e+09]
[-1.49305603e-01 -3.40511753e-03  1.69204417e+09]
[-1.94810115e-01 -3.38867804e-03  1.69204417e+09]
[-2.54025165e-01 -3.27360161e-03  1.69204417e+09]
[-3.40924319e-01 -3.38867804e-03  1.69204417e+09]
[-4.66061733e-01 -3.42155702e-03  1.69204417e+09]
[-5.27413917e-01 -3.32292008e-03  1.69204417e+09]
[-5.58418799e-01 -3.47087550e-03  1.69204417e+09]
[-5.87713973e-01 -3.42155702e-03  1.69204417e+09]
[-5.61624500e-01 -5.78884372e-03  1.69204417e+09]
[-5.07242660e-01 -6.16695201e-03  1.69204417e+09]
[-4.47452228e-01 -6.21627048e-03  1.69204417e+09]
[-3.83847833e-01 -6.16695201e-03  1.69204417e+09]
[-3.42897058e-01 -6.23270997e-03  1.69204417e+09]
[-3.06434265e-01 -6.24914947e-03  1.69204417e+09]
[-2.87364454e-01 -1.67897099e-03  1.69204417e+09]
[-2.93315550e-01  5.49879537e-02  1.69204417e+09]
[-3.03327201e-01  1.41065125e-01  1.69204417e+09]
[-3.31126382e-01  2.45143534e-01  1.69204417e+09]
[-3.58596773e-01  3.43665391e-01  1.69204417e+09]
[-3.59352990e-01  4.27227308e-01  1.69204417e+09]
[-3.59550264e-01  4.81099508e-01  1.69204417e+09]
[-3.74575959e-01  4.99626809e-01  1.69204417e+09]
[-3.85886330e-01  5.08520572e-01  1.69204417e+09]
[-3.90292114e-01  5.11545437e-01  1.69204417e+09]
[-3.89470139e-01  5.17348576e-01  1.69204417e+09]
[-3.99284516e-01  5.21754358e-01  1.69204417e+09]
[-4.09674275e-01  5.23957250e-01  1.69204417e+09]
[-4.13997861e-01  5.29842586e-01  1.69204417e+09]
[-4.18025537e-01  5.40610449e-01  1.69204417e+09]
[-4.15641810e-01  5.49569969e-01  1.69204417e+09]
[-4.21033964e-01  5.49750804e-01  1.69204417e+09]
[-4.22266926e-01  5.46298512e-01  1.69204417e+09]
[-4.26179525e-01  5.43043493e-01  1.69204417e+09]
[-4.27001499e-01  5.37930813e-01  1.69204417e+09]
[-4.28678328e-01  5.32357827e-01  1.69204417e+09]
[-4.32459411e-01  5.25239530e-01  1.69204417e+09]
[-4.33511538e-01  5.19321314e-01  1.69204417e+09]
[-4.32689564e-01  5.14356589e-01  1.69204417e+09]
[-4.31210009e-01  5.09901489e-01  1.69204417e+09]
[-4.28365977e-01  5.04821687e-01  1.69204417e+09]
[-4.23417690e-01  4.96519746e-01  1.69204417e+09]
[-4.24979442e-01  4.74342879e-01  1.69204417e+09]
[-4.68231746e-01  3.75557998e-01  1.69204417e+09]
[-4.84983588e-01  2.98736268e-01  1.69204417e+09]
[-4.76303536e-01  2.79091079e-01  1.69204417e+09]
[-4.72473135e-01  2.80143206e-01  1.69204417e+09]
[-4.52811502e-01  2.97914294e-01  1.69204417e+09]
[-4.23746480e-01  3.23888686e-01  1.69204417e+09]
[-3.95536312e-01  3.58345854e-01  1.69204417e+09]
[-3.84571170e-01  3.81755685e-01  1.69204417e+09]
[-3.94418426e-01  3.88791786e-01  1.69204417e+09]
[-3.94632140e-01  3.88002690e-01  1.69204417e+09]
[-3.97229579e-01  3.82824251e-01  1.69204417e+09]
[-3.87234368e-01  3.74407234e-01  1.69204417e+09]
[-3.58892684e-01  3.71760476e-01  1.69204417e+09]
[-3.29170082e-01  3.71941310e-01  1.69204417e+09]
[-3.26687719e-01  3.74966176e-01  1.69204417e+09]
[-3.21838069e-01  3.77875966e-01  1.69204417e+09]
[-3.12500438e-01  3.77793768e-01  1.69204417e+09]
[-3.09607087e-01  3.73897609e-01  1.69204417e+09]
[-3.04346449e-01  3.64296948e-01  1.69204417e+09]
[-3.10905807e-01  3.47577989e-01  1.69204417e+09]
[-3.15459546e-01  3.23576336e-01  1.69204417e+09]
[-3.38211803e-01  2.80636391e-01  1.69204417e+09]
[-3.35170497e-01  2.49976744e-01  1.69204417e+09]
[-3.21854508e-01  2.36693637e-01  1.69204417e+09]
[-2.92016831e-01  2.44305120e-01  1.69204417e+09]
[-2.75675976e-01  2.76444321e-01  1.69204417e+09]
[-2.51131814e-01  3.18710247e-01  1.69204417e+09]
[-2.51000298e-01  3.37418385e-01  1.69204417e+09]
[-2.66436981e-01  3.41840607e-01  1.69204417e+09]
[-2.64053255e-01  3.37878691e-01  1.69204417e+09]
[-2.53762133e-01  3.31812519e-01  1.69204417e+09]
[-2.54370394e-01  3.25861425e-01  1.69204417e+09]
[-2.53334706e-01  3.22458450e-01  1.69204417e+09]
[-2.38769316e-01  3.27587571e-01  1.69204417e+09]
[-2.25601283e-01  3.32387901e-01  1.69204417e+09]
[-2.16756837e-01  3.33900334e-01  1.69204417e+09]
[-2.03523046e-01  3.32371462e-01  1.69204417e+09]
[-1.96486944e-01  3.31122061e-01  1.69204417e+09]
[-1.97522631e-01  3.29116443e-01  1.69204418e+09]
[-2.00185829e-01  3.23888686e-01  1.69204418e+09]
[-2.05873893e-01  3.17986910e-01  1.69204418e+09]
[-2.07665798e-01  3.11575509e-01  1.69204418e+09]
[-2.13896365e-01  3.08599962e-01  1.69204418e+09]
[-2.16970550e-01  3.15323712e-01  1.69204418e+09]
[-2.16559563e-01  3.19877451e-01  1.69204418e+09]
[-2.19650187e-01  3.18447215e-01  1.69204418e+09]
[-2.20126933e-01  3.12890668e-01  1.69204418e+09]
[-2.22625735e-01  3.07498516e-01  1.69204418e+09]
[-2.18910410e-01  3.02254319e-01  1.69204418e+09]
[-2.17924041e-01  2.97782778e-01  1.69204418e+09]
[-2.21277697e-01  2.97240275e-01  1.69204418e+09]
[-2.22247627e-01  2.95957995e-01  1.69204418e+09]
[-2.18121315e-01  2.92768734e-01  1.69204418e+09]
[-2.16444486e-01  2.87524537e-01  1.69204418e+09]
[-2.14619703e-01  2.83398225e-01  1.69204418e+09]
[-2.15869104e-01  2.79518506e-01  1.69204418e+09]
[-2.16954111e-01  2.75260678e-01  1.69204418e+09]
[-2.15967741e-01  2.71545354e-01  1.69204418e+09]
[-2.14044321e-01  2.67205328e-01  1.69204418e+09]
[-2.15392359e-01  2.65298348e-01  1.69204418e+09]
[-2.17924041e-01  2.65544940e-01  1.69204418e+09]
[-2.24565595e-01  2.67895787e-01  1.69204418e+09]
[-2.29283730e-01  2.70608303e-01  1.69204418e+09]
[-2.30779723e-01  2.72170054e-01  1.69204418e+09]
[-2.30664647e-01  2.71791946e-01  1.69204418e+09]
[-2.29448124e-01  2.68701322e-01  1.69204418e+09]
[-2.21557168e-01  2.58245807e-01  1.69204418e+09]
[-2.14751219e-01  2.44469515e-01  1.69204418e+09]
[-2.13156588e-01  2.44190044e-01  1.69204418e+09]
[-2.18647378e-01  2.46458693e-01  1.69204418e+09]
[-2.28395997e-01  2.49220527e-01  1.69204418e+09]
[-2.35004673e-01  2.54678438e-01  1.69204418e+09]
