HokinLeft_Hand
Dev2/ai0 Dev2/ai1
[-2.45723221e-01  4.74602322e-04  1.69204214e+09]
[-2.69642682e-01  3.75965377e-04  1.69204214e+09]
[-2.80591384e-01  4.41723340e-04  1.69204214e+09]
[-2.88433021e-01  4.25283849e-04  1.69204214e+09]
[-2.94663589e-01  4.58162831e-04  1.69204214e+09]
[-2.92871684e-01  5.07481304e-04  1.69204214e+09]
[-2.89074161e-01  5.23920795e-04  1.69204214e+09]
[-2.81183205e-01  4.74602322e-04  1.69204214e+09]
[-2.62655898e-01  4.91041813e-04  1.69204214e+09]
[-2.06498594e-01  4.74602322e-04  1.69204214e+09]
[-1.41052978e-01  5.07481304e-04  1.69204214e+09]
[-1.07368460e-01  4.91041813e-04  1.69204214e+09]
[-9.66663508e-02  4.91041813e-04  1.69204214e+09]
[-7.04124832e-02  4.08844358e-04  1.69204214e+09]
[-2.83109464e-02  2.54626284e-02  1.69204214e+09]
[-5.70664626e-03  1.38237533e-01  1.69204214e+09]
[-5.41073543e-03  2.22506357e-01  1.69204214e+09]
[-5.27921950e-03  2.59643164e-01  1.69204214e+09]
[-5.27921950e-03  2.95004504e-01  1.69204214e+09]
[-5.37785645e-03  3.08008140e-01  1.69204214e+09]
[-5.31209848e-03  3.11756343e-01  1.69204214e+09]
[-5.32853797e-03  2.98243084e-01  1.69204214e+09]
[-5.37785645e-03  2.65232590e-01  1.69204214e+09]
[-5.34497746e-03  1.85451748e-01  1.69204214e+09]
[-5.44361441e-03  1.26762769e-01  1.69204214e+09]
[-5.36141695e-03  7.39098073e-02  1.69204214e+09]
[-5.39429594e-03  3.07725839e-02  1.69204214e+09]
[-5.37785645e-03  4.92970435e-03  1.69204214e+09]
[-5.37785645e-03  4.20636676e-03  1.69204214e+09]
[-4.21365584e-02  4.02553236e-03  1.69204214e+09]
[-1.14421002e-01  3.82825846e-03  1.69204214e+09]
[-1.37485608e-01  3.74606101e-03  1.69204214e+09]
[-1.48812418e-01  3.69674254e-03  1.69204214e+09]
[-1.38028111e-01  3.66386356e-03  1.69204214e+09]
[-1.04014803e-01  3.68030305e-03  1.69204214e+09]
[-4.87945523e-02  3.64742406e-03  1.69204214e+09]
[-9.61924511e-03  9.18946098e-02  1.69204214e+09]
[-4.99974815e-03  1.34801679e-01  1.69204214e+09]
[-4.83535324e-03  1.59608870e-01  1.69204214e+09]
[-4.88467172e-03  1.57011430e-01  1.69204214e+09]
[-4.81891375e-03  1.18329310e-01  1.69204214e+09]
[-4.80247426e-03  4.41543293e-02  1.69204214e+09]
[-4.88467172e-03 -1.13646779e-03  1.69204214e+09]
[-4.80247426e-03 -8.40556951e-04  1.69204214e+09]
[-4.78603477e-03 -7.09041023e-04  1.69204214e+09]
[-4.67095834e-03  7.54358337e-03  1.69204214e+09]
[-4.70383732e-03  3.18082718e-02  1.69204214e+09]
[-4.72027681e-03  5.74045588e-02  1.69204214e+09]
[-4.73671630e-03  1.00969208e-01  1.69204214e+09]
[-4.65451884e-03  1.36001762e-01  1.69204214e+09]
[-4.75315579e-03  1.31020597e-01  1.69204214e+09]
[-4.81891375e-03  8.64860175e-02  1.69204214e+09]
[-4.85179274e-03  2.92930297e-02  1.69204214e+09]
[-4.86823223e-03  3.89401643e-03  1.69204214e+09]
[-4.90111121e-03  3.26931577e-03  1.69204214e+09]
[-5.50086800e-02  3.05560239e-03  1.69204214e+09]
[-1.42187303e-01  2.94052596e-03  1.69204214e+09]
[-1.98410364e-01  2.94052596e-03  1.69204214e+09]
[-2.29908430e-01  2.87476799e-03  1.69204214e+09]
[-2.45394432e-01  2.77613105e-03  1.69204214e+09]
[-2.53663496e-01  2.80901003e-03  1.69204214e+09]
[-2.53581298e-01  2.77613105e-03  1.69204214e+09]
[-2.59910503e-01  2.71037308e-03  1.69204214e+09]
[-2.69412529e-01  2.72681258e-03  1.69204214e+09]
[-2.74558090e-01  2.75969156e-03  1.69204214e+09]
[-2.80624263e-01  2.66105461e-03  1.69204214e+09]
[-3.01798328e-01  9.26015079e-02  1.69204214e+09]
[-3.11415431e-01  2.10341135e-01  1.69204214e+09]
[-3.26589082e-01  2.97914294e-01  1.69204214e+09]
[-3.54667734e-01  3.45407976e-01  1.69204214e+09]
[-3.79984552e-01  4.12530406e-01  1.69204214e+09]
[-4.04315000e-01  4.39704879e-01  1.69204214e+09]
[-4.33659494e-01  4.41069356e-01  1.69204214e+09]
[-4.56115840e-01  4.45409381e-01  1.69204214e+09]
[-4.60209273e-01  4.41907770e-01  1.69204214e+09]
[-4.53090973e-01  4.39441847e-01  1.69204214e+09]
[-4.41977877e-01  4.41595420e-01  1.69204214e+09]
[-4.40054456e-01  4.41151554e-01  1.69204214e+09]
[-4.37588532e-01  4.41414586e-01  1.69204214e+09]
[-4.37407698e-01  4.41365267e-01  1.69204214e+09]
[-4.32393653e-01  4.36844408e-01  1.69204214e+09]
[-4.24206786e-01  4.34214090e-01  1.69204214e+09]
[-4.17220002e-01  4.27095792e-01  1.69204214e+09]
