u_1,u_2,angle,velocity,acceleration,results,time
-0.31785971188877077,-0.0004131301870074322,0.6091838152961486,-0.007572301830191192,-0.007572301830191192,0.0,1692984935.2875571
-0.32849606320111996,0.007823054747548498,0.5919174946670915,-0.017266320629057128,-0.009694018798865936,0.0,1692984935.3335688
-0.3553746326296851,0.009434124851942777,0.5647911718260725,-0.02712632284101902,-0.009860002211961894,0.0,1692984935.383523
-0.3684604682823925,0.011012315973778697,0.5264307662611233,-0.03836040556494927,-0.011234082723930248,0.0,1692984935.4335446
-0.389272865204455,0.006820245804592126,0.4770600830458962,-0.04937068321522711,-0.011010277650277843,0.0,1692984935.4835622
-0.3916401520592072,0.004929704353890274,0.4165166120195429,-0.06054347102635332,-0.011172787811126204,0.0,1692984935.5355725
-0.3905551455840772,0.004025532355310724,0.346281110449559,-0.0702355015699839,-0.009692030543630579,0.0,1692984935.5855854
-0.39073597999659715,0.0007540736673266269,0.2679503613240095,-0.07833074912554946,-0.00809524755556557,0.0,1692984935.6336036
-0.38371631689331565,0.0009349080672479193,0.18283161724576458,-0.08511874407824493,-0.00678799495269547,0.0,1692984935.6843114
-0.36783576758521697,0.027879233533912896,0.09246078397293828,-0.0903708332728263,-0.005252089194581363,0.0,1692984935.736329
-0.3323593438194951,0.13179325260850022,-0.0008862234949746362,-0.09334700746791291,-0.0029761741950866064,0.0,1692984935.7863452
-0.274344376725888,0.24535724738657202,-0.09168656709884733,-0.0908003436038727,0.002546663864040219,0.0,1692984935.8353574
-0.2244998374470107,0.34719988055201645,-0.17274829864014188,-0.08106173154129455,0.00973861206257815,0.0,1692984935.883523
-0.17878161096026376,0.4176430866511394,-0.23751729165970348,-0.0647689930195616,0.016292738521732957,0.0,1692984935.9355383
-0.1519852396286118,0.446576584647066,-0.2815413267829624,-0.044024035123258906,0.020744957896302693,0.0,1692984935.9865537
-0.1320112574140252,0.4671259436901464,-0.30376347686272753,-0.02222215007976515,0.021801885043493757,0.0,1692984936.0365703
-0.11594987424926106,0.4774663810551353,-0.3043644965566485,-0.0006010196939209393,0.02162113038584421,0.0,1692984936.0834594
-0.10482033856057253,0.48908909832529635,-0.2847720495693593,0.01959244698728917,0.02019346668121011,0.0,1692984936.135938
-0.09747188591404762,0.4906179706042921,-0.2467461019764606,0.03802594759289871,0.018433500605609537,0.0,1692984936.1859581
-0.09245784105111803,0.4938565495128652,-0.1929876749469668,0.053758427029493794,0.015732479436595084,0.0,1692984936.2359736
