HokinRight_Hand
Dev2/ai0 Dev2/ai1
[-5.97268139e-02  3.43371068e-03  1.69204437e+09]
[-2.95439082e-02  9.84226540e-04  1.69204437e+09]
[-2.13899207e-02  1.14862145e-03  1.69204437e+09]
[-1.69676976e-02  1.31301636e-03  1.69204437e+09]
[-1.68855001e-02  1.29657687e-03  1.69204437e+09]
[-1.91212709e-02  1.39521381e-03  1.69204437e+09]
[-2.54669144e-02  1.14862145e-03  1.69204437e+09]
[-3.47716664e-02  8.36271122e-04  1.69204437e+09]
[-5.35126863e-02 -1.17219351e-04  1.69204437e+09]
[-1.06546485e-01 -2.78041688e-03  1.69204437e+09]
[-2.15293722e-01 -3.89830226e-03  1.69204437e+09]
[-3.63495742e-01 -4.35860801e-03  1.69204437e+09]
[-4.59765407e-01 -4.50656343e-03  1.69204437e+09]
[-5.00255876e-01 -4.52300292e-03  1.69204437e+09]
[-5.27759146e-01 -4.62163986e-03  1.69204437e+09]
[-5.55048703e-01 -4.70383732e-03  1.69204437e+09]
[-5.57744780e-01 -4.72027681e-03  1.69204437e+09]
[-5.57596824e-01 -4.76959528e-03  1.69204437e+09]
[-5.20180540e-01 -4.73671630e-03  1.69204437e+09]
[-4.49918151e-01 -4.72027681e-03  1.69204437e+09]
[-3.51478473e-01 -4.78603477e-03  1.69204437e+09]
[-2.66634255e-01 -4.76959528e-03  1.69204437e+09]
[-2.26127347e-01  2.68106666e-02  1.69204437e+09]
[-2.20866710e-01  1.06196966e-01  1.69204437e+09]
[-2.31371545e-01  1.85451748e-01  1.69204437e+09]
[-2.45854737e-01  2.42513216e-01  1.69204437e+09]
[-2.63149083e-01  2.64361297e-01  1.69204437e+09]
[-2.89172798e-01  2.77496449e-01  1.69204437e+09]
[-3.08423443e-01  2.95826479e-01  1.69204437e+09]
[-3.38721427e-01  3.15603184e-01  1.69204437e+09]
[-3.62690207e-01  3.25318921e-01  1.69204437e+09]
[-3.61490124e-01  3.28869851e-01  1.69204437e+09]
[-3.47680950e-01  3.26716278e-01  1.69204437e+09]
[-3.27148025e-01  3.18447215e-01  1.69204437e+09]
[-3.13569004e-01  3.11854980e-01  1.69204437e+09]
[-2.92197665e-01  3.05410701e-01  1.69204437e+09]
[-2.81084568e-01  2.97026561e-01  1.69204437e+09]
[-2.69626243e-01  2.88708180e-01  1.69204437e+09]
[-2.61274981e-01  2.77003264e-01  1.69204437e+09]
[-2.55488280e-01  2.63999628e-01  1.69204437e+09]
[-2.49224833e-01  2.52228954e-01  1.69204437e+09]
[-2.46972623e-01  2.44305120e-01  1.69204437e+09]
[-2.46347922e-01  2.38715694e-01  1.69204437e+09]
[-2.48189145e-01  2.37992356e-01  1.69204437e+09]
[-2.51312649e-01  2.38156751e-01  1.69204437e+09]
[-2.52052426e-01  2.39340394e-01  1.69204437e+09]
[-2.52348337e-01  2.40244566e-01  1.69204437e+09]
[-2.54781381e-01  2.41444649e-01  1.69204437e+09]
[-2.52331897e-01  2.40458280e-01  1.69204437e+09]
[-2.50868782e-01  2.38978726e-01  1.69204437e+09]
[-2.45953374e-01  2.36627879e-01  1.69204437e+09]
[-2.46561635e-01  2.32337172e-01  1.69204437e+09]
[-2.45262916e-01  2.24068109e-01  1.69204437e+09]
[-2.41268119e-01  2.20188389e-01  1.69204437e+09]
[-2.39788565e-01  2.17114205e-01  1.69204437e+09]
[-2.39147425e-01  2.13957823e-01  1.69204437e+09]
[-2.38259692e-01  2.08121804e-01  1.69204437e+09]
[-2.35547176e-01  1.99211601e-01  1.69204437e+09]
[-2.33377163e-01  1.88131385e-01  1.69204437e+09]
[-2.29135774e-01  1.74618124e-01  1.69204437e+09]
[-2.27705538e-01  1.69143774e-01  1.69204437e+09]
[-2.26308182e-01  1.65740799e-01  1.69204437e+09]
[-2.27080838e-01  1.66529895e-01  1.69204437e+09]
[-2.28363118e-01  1.67845054e-01  1.69204437e+09]
[-2.33853908e-01  1.70935678e-01  1.69204437e+09]
[-2.36993851e-01  1.76114118e-01  1.69204437e+09]
[-2.39920081e-01  1.83692722e-01  1.69204437e+09]
[-2.46430120e-01  1.97584091e-01  1.69204437e+09]
[-2.57050031e-01  2.36134694e-01  1.69204437e+09]
[-2.67456230e-01  2.52623502e-01  1.69204437e+09]
[-2.68491918e-01  2.50469929e-01  1.69204437e+09]
[-2.64546440e-01  2.45981948e-01  1.69204437e+09]
[-2.63527191e-01  2.42907763e-01  1.69204437e+09]
[-2.60732477e-01  2.40885706e-01  1.69204437e+09]
[-2.56474649e-01  2.40310324e-01  1.69204437e+09]
[-2.53400464e-01  2.37252579e-01  1.69204437e+09]
[-2.50244082e-01  2.33964681e-01  1.69204437e+09]
[-2.49257712e-01  2.32107019e-01  1.69204437e+09]
[-2.46101330e-01  2.29295866e-01  1.69204437e+09]
[-2.44720412e-01  2.26698427e-01  1.69204437e+09]
[-2.39509093e-01  2.25103797e-01  1.69204437e+09]
[-2.38588482e-01  2.23821516e-01  1.69204437e+09]
[-2.38506284e-01  2.23985911e-01  1.69204437e+09]
[-2.36648622e-01  2.22325523e-01  1.69204437e+09]
[-2.35514297e-01  2.19317096e-01  1.69204437e+09]
[-2.36369151e-01  2.14763358e-01  1.69204437e+09]
[-2.37289762e-01  2.10143861e-01  1.69204437e+09]
[-2.36023921e-01  2.04981861e-01  1.69204437e+09]
[-2.34281335e-01  2.01858358e-01  1.69204437e+09]
[-2.31042755e-01  1.99786983e-01  1.69204437e+09]
[-2.31092074e-01  1.96663480e-01  1.69204437e+09]
[-2.30007067e-01  1.93655053e-01  1.69204437e+09]
[-2.31453742e-01  1.91435722e-01  1.69204437e+09]
[-2.29398806e-01  1.89232830e-01  1.69204437e+09]
[-2.25683481e-01  1.88114945e-01  1.69204437e+09]
[-2.23316194e-01  1.86931302e-01  1.69204437e+09]
[-2.21672245e-01  1.83462569e-01  1.69204437e+09]
[-2.16789716e-01  1.79237621e-01  1.69204437e+09]
[-2.13173028e-01  1.74798958e-01  1.69204437e+09]
[-2.11512639e-01  1.72596067e-01  1.69204437e+09]
[-2.09128913e-01  1.68897181e-01  1.69204437e+09]
[-2.08389136e-01  1.67039519e-01  1.69204437e+09]
[-2.06038288e-01  1.63833819e-01  1.69204437e+09]
[-2.04805326e-01  1.61367895e-01  1.69204437e+09]
[-2.01287275e-01  1.56337411e-01  1.69204437e+09]
[-1.95664969e-01  1.50304118e-01  1.69204437e+09]
[-1.87264389e-01  1.42626877e-01  1.69204437e+09]
[-1.81905114e-01  1.38582762e-01  1.69204437e+09]
[-1.82332541e-01  1.38056698e-01  1.69204437e+09]
[-1.82825726e-01  1.39700647e-01  1.69204437e+09]
[-1.85193013e-01  1.42347405e-01  1.69204437e+09]
[-1.87790452e-01  1.47887513e-01  1.69204437e+09]
[-1.97917179e-01  1.52539889e-01  1.69204437e+09]
[-2.12383932e-01  1.55268844e-01  1.69204437e+09]
[-2.26143787e-01  1.57389539e-01  1.69204437e+09]
[-2.33755271e-01  1.59970538e-01  1.69204437e+09]
[-2.40906450e-01  1.63373513e-01  1.69204437e+09]
[-2.42188731e-01  1.63406392e-01  1.69204437e+09]
[-2.43207979e-01  1.63028284e-01  1.69204437e+09]
[-2.42764113e-01  1.62567978e-01  1.69204437e+09]
[-2.45624584e-01  1.63357073e-01  1.69204437e+09]
[-2.49142636e-01  1.64179048e-01  1.69204438e+09]
[-2.54255318e-01  1.66579213e-01  1.69204438e+09]
[-2.56047222e-01  1.68634150e-01  1.69204438e+09]
[-2.55948585e-01  1.68913621e-01  1.69204438e+09]
[-2.53104553e-01  1.67598462e-01  1.69204438e+09]
[-2.51756515e-01  1.65527086e-01  1.69204438e+09]
[-2.52216821e-01  1.63587226e-01  1.69204438e+09]
[-2.54847139e-01  1.61696685e-01  1.69204438e+09]
[-2.54633426e-01  1.61696685e-01  1.69204438e+09]
[-2.53449783e-01  1.60825392e-01  1.69204438e+09]
[-2.53022356e-01  1.59773265e-01  1.69204438e+09]
[-2.48846725e-01  1.59526672e-01  1.69204438e+09]
[-2.46134209e-01  1.59247201e-01  1.69204438e+09]
