HokinLeft_Hand
Dev2/ai0 Dev2/ai1
[-1.38176067e-01 -1.51457608e-03  1.69204176e+09]
[-8.03419360e-02 -1.59677353e-03  1.69204176e+09]
[-7.37003815e-02 -1.53101557e-03  1.69204176e+09]
[-5.03069855e-02 -1.46525761e-03  1.69204176e+09]
[-1.99596849e-02 -1.56389455e-03  1.69204176e+09]
[-4.45724495e-03 -1.46525761e-03  1.69204176e+09]
[-3.65170990e-03 -1.54745506e-03  1.69204176e+09]
[-3.65170990e-03  6.59009293e-03  1.69204176e+09]
[-3.75034684e-03  2.02348703e-02  1.69204176e+09]
[-3.73390735e-03  5.53989409e-02  1.69204176e+09]
[-3.75034684e-03  7.09506990e-02  1.69204176e+09]
[-3.76678633e-03  8.41844888e-02  1.69204176e+09]
[-3.75034684e-03  8.21953105e-02  1.69204176e+09]
[-3.78322583e-03  5.59907626e-02  1.69204176e+09]
[-3.81610481e-03  3.54878712e-03  1.69204176e+09]
[-3.75034684e-03 -3.66814939e-03  1.69204176e+09]
[-3.78322583e-03 -4.86823223e-03  1.69204176e+09]
[-2.02227168e-02 -4.72027681e-03  1.69204176e+09]
[-3.73526665e-02 -4.65451884e-03  1.69204176e+09]
[-5.69649794e-02 -4.53944241e-03  1.69204176e+09]
[-7.59854708e-02 -4.50656343e-03  1.69204176e+09]
[-8.90055479e-02 -4.49012394e-03  1.69204176e+09]
[-9.00247963e-02 -4.40792648e-03  1.69204176e+09]
[-8.66053821e-02 -4.52300292e-03  1.69204176e+09]
[-8.21831590e-02 -4.25997106e-03  1.69204176e+09]
[-8.46326432e-02 -4.30928953e-03  1.69204176e+09]
[-8.29558151e-02 -4.32572903e-03  1.69204176e+09]
[-8.32188469e-02 -4.39148699e-03  1.69204176e+09]
[-8.30544520e-02 -4.35860801e-03  1.69204177e+09]
[-8.17064137e-02 -4.22709208e-03  1.69204177e+09]
[-7.67910058e-02 -4.21065259e-03  1.69204177e+09]
[-6.37544893e-02 -4.21065259e-03  1.69204177e+09]
[-4.09693545e-02 -4.27641055e-03  1.69204177e+09]
[-1.52744300e-02 -4.24353157e-03  1.69204177e+09]
[-3.71746786e-03 -4.14489463e-03  1.69204177e+09]
[-3.37223855e-03 -4.16133412e-03  1.69204177e+09]
[-3.15852517e-03  3.59345840e-02  1.69204177e+09]
[-3.30648059e-03  6.07088964e-02  1.69204177e+09]
[-3.42155702e-03  7.26932850e-02  1.69204177e+09]
[-3.53663346e-03  6.96519792e-02  1.69204177e+09]
[-3.50375448e-03  6.57229410e-02  1.69204177e+09]
[-3.55307295e-03  4.89382211e-02  1.69204177e+09]
[-3.53663346e-03  1.22123988e-02  1.69204177e+09]
[-3.55307295e-03 -2.05707928e-03  1.69204177e+09]
[-3.60239143e-03 -2.35299011e-03  1.69204177e+09]
[-3.56951244e-03 -2.43518757e-03  1.69204177e+09]
[-3.61883092e-03 -2.50094553e-03  1.69204177e+09]
[-3.60239143e-03 -2.50094553e-03  1.69204177e+09]
[-3.68458888e-03 -2.58314299e-03  1.69204177e+09]
[-3.73390735e-03 -2.56670350e-03  1.69204177e+09]
[-4.12845513e-03 -2.59958248e-03  1.69204177e+09]
[-3.86542328e-03 -2.64890095e-03  1.69204177e+09]
[-3.40511753e-03 -2.68177993e-03  1.69204177e+09]
[-3.25716212e-03 -2.66534044e-03  1.69204177e+09]
[-3.30648059e-03 -2.59958248e-03  1.69204177e+09]
[-3.37223855e-03 -2.68177993e-03  1.69204177e+09]
[-3.47087550e-03 -2.73109841e-03  1.69204177e+09]
[-3.70102837e-03 -2.66534044e-03  1.69204177e+09]
[-3.88186277e-03 -2.69821942e-03  1.69204177e+09]
[-3.98049972e-03 -2.66534044e-03  1.69204177e+09]
[-4.09557615e-03 -2.74753790e-03  1.69204177e+09]
[-4.12845513e-03 -2.66534044e-03  1.69204177e+09]
[-4.14489463e-03 -2.68177993e-03  1.69204177e+09]
[-4.53944241e-03 -2.68177993e-03  1.69204177e+09]
[-5.19702205e-03 -2.76397739e-03  1.69204177e+09]
[-5.85460168e-03 -2.73109841e-03  1.69204177e+09]
