HokinLeft_Hand
Dev2/ai0 Dev2/ai1
[-1.33838885e-02 -1.23510473e-03  1.69204182e+09]
[-1.35811624e-02 -1.21866524e-03  1.69204182e+09]
[-1.41565446e-02 -1.25154422e-03  1.69204182e+09]
[-1.43866975e-02 -1.23510473e-03  1.69204182e+09]
[-1.43702580e-02 -1.30086270e-03  1.69204182e+09]
[-1.43702580e-02 -1.28442321e-03  1.69204182e+09]
[-1.47812453e-02 -1.30086270e-03  1.69204182e+09]
[-1.39921497e-02 -1.28442321e-03  1.69204182e+09]
[-1.05398566e-02 -1.36662066e-03  1.69204182e+09]
[-4.60520037e-03 -1.28442321e-03  1.69204182e+09]
[-4.32572903e-03  4.04197183e-03  1.69204182e+09]
[-3.84898379e-03  1.92652244e-01  1.69204182e+09]
[-3.79966532e-03  2.58886947e-01  1.69204182e+09]
[-3.86542328e-03  2.52985170e-01  1.69204182e+09]
[-3.89830226e-03  2.42200865e-01  1.69204182e+09]
[-3.94762073e-03  2.24857204e-01  1.69204182e+09]
[-3.99693921e-03  2.13185167e-01  1.69204182e+09]
[-3.91474175e-03  2.09256129e-01  1.69204182e+09]
[-4.01337870e-03  1.83100901e-01  1.69204182e+09]
[-3.98049972e-03  1.42561119e-01  1.69204182e+09]
[-3.99693921e-03  7.02109219e-02  1.69204182e+09]
[-3.99693921e-03  2.90764697e-03  1.69204182e+09]
[-3.98049972e-03 -2.81614260e-04  1.69204182e+09]
[-3.96406023e-03 -4.13130187e-04  1.69204182e+09]
[-4.04625768e-03 -4.62448660e-04  1.69204182e+09]
[-3.96406023e-03 -5.28206623e-04  1.69204182e+09]
[-4.01337870e-03 -5.93964587e-04  1.69204182e+09]
[-2.26228825e-02 -5.93964587e-04  1.69204182e+09]
[-3.50675772e-02 -5.77525096e-04  1.69204182e+09]
[-4.85315204e-02 -6.59722551e-04  1.69204182e+09]
[-5.53374698e-02 -7.09041023e-04  1.69204182e+09]
[-5.64553552e-02 -7.25480514e-04  1.69204182e+09]
[-5.01425906e-02 -6.59722551e-04  1.69204182e+09]
[-3.82239595e-02 -7.58359496e-04  1.69204182e+09]
[-3.74184244e-02 -6.59722551e-04  1.69204182e+09]
[-4.95014504e-02 -7.25480514e-04  1.69204182e+09]
[-6.23406930e-02 -7.09041023e-04  1.69204182e+09]
[-6.95083112e-02 -6.26843569e-04  1.69204182e+09]
[-6.23571325e-02 -7.41920005e-04  1.69204182e+09]
[-4.02788959e-02 -8.56996442e-04  1.69204182e+09]
[-1.92034684e-02 -7.74798987e-04  1.69204182e+09]
[-4.53944241e-03 -8.56996442e-04  1.69204182e+09]
[-4.16133412e-03 -7.58359496e-04  1.69204182e+09]
[-4.19421310e-03 -8.56996442e-04  1.69204182e+09]
[-4.22709208e-03 -8.07677969e-04  1.69204182e+09]
[-4.16133412e-03 -8.73435933e-04  1.69204182e+09]
[-4.09557615e-03 -8.07677969e-04  1.69204182e+09]
[-4.06269717e-03 -8.73435933e-04  1.69204182e+09]
[-4.14489463e-03 -8.07677969e-04  1.69204182e+09]
[-4.12845513e-03 -7.91238478e-04  1.69204182e+09]
[-4.07913666e-03 -8.73435933e-04  1.69204182e+09]
[-1.74280033e-02 -8.40556951e-04  1.69204182e+09]
[-3.12042968e-02 -8.07677969e-04  1.69204182e+09]
[-4.65423420e-02 -8.73435933e-04  1.69204182e+09]
[-4.61806732e-02 -8.56996442e-04  1.69204182e+09]
[-3.46072715e-02 -8.73435933e-04  1.69204182e+09]
[-1.54388249e-02 -9.55633387e-04  1.69204182e+09]
[-5.19702205e-03 -9.22754405e-04  1.69204182e+09]
[-4.11201564e-03 -9.06314914e-04  1.69204182e+09]
[-4.07913666e-03 -9.22754405e-04  1.69204182e+09]
[-4.01337870e-03 -9.55633387e-04  1.69204182e+09]
[-3.98049972e-03 -9.22754405e-04  1.69204182e+09]
[-3.91474175e-03 -9.22754405e-04  1.69204182e+09]
[-3.96406023e-03 -9.88512369e-04  1.69204182e+09]
[-3.96406023e-03 -8.73435933e-04  1.69204182e+09]
[-3.93118124e-03 -8.56996442e-04  1.69204182e+09]
[-3.99693921e-03 -9.39193896e-04  1.69204182e+09]
[-3.93118124e-03 -9.22754405e-04  1.69204182e+09]
[-3.93118124e-03 -9.55633387e-04  1.69204182e+09]
[-4.06269717e-03 -9.72072878e-04  1.69204182e+09]
[-4.58876088e-03 -8.89875423e-04  1.69204182e+09]
[-4.98330866e-03 -9.06314914e-04  1.69204182e+09]
[-5.11482459e-03 -9.22754405e-04  1.69204182e+09]
[-5.08194561e-03 -9.39193896e-04  1.69204182e+09]
[-5.31209848e-03 -9.55633387e-04  1.69204182e+09]
[-5.36141695e-03 -1.03783084e-03  1.69204182e+09]
[-5.49293288e-03 -9.72072878e-04  1.69204182e+09]
[-5.37785645e-03 -9.06314914e-04  1.69204182e+09]
[-5.72308576e-03 -9.88512369e-04  1.69204182e+09]
[-5.78884372e-03 -9.72072878e-04  1.69204182e+09]
[-5.55869085e-03 -9.72072878e-04  1.69204182e+09]
[-5.11482459e-03 -1.00495186e-03  1.69204182e+09]
[-4.62163986e-03  1.20480039e-02  1.69204182e+09]
[-3.98049972e-03  5.45934059e-02  1.69204182e+09]
[-3.91474175e-03  9.75991130e-02  1.69204182e+09]
[-3.84898379e-03  1.01807622e-01  1.69204182e+09]
[-3.89830226e-03  9.72045652e-02  1.69204182e+09]
