Hokin
Dev2/ai0 Dev2/ai1
[-2.01898378e-02  7.59290188e-03  1.69170018e+09]
[-2.02391563e-02  7.47782544e-03  1.69170018e+09]
[-2.01733983e-02  7.49426493e-03  1.69170018e+09]
[-2.03706722e-02  7.42850697e-03  1.69170018e+09]
[-2.04364302e-02  7.52714391e-03  1.69170018e+09]
[-2.12912837e-02  7.44494646e-03  1.69170018e+09]
[-3.04809592e-02  7.24767257e-03  1.69170018e+09]
[-5.71622533e-02  6.98464071e-03  1.69170018e+09]
[-9.54662680e-02  7.06683817e-03  1.69170018e+09]
[-1.33408614e-01  7.00108020e-03  1.69170018e+09]
[-1.55700565e-01  6.95176173e-03  1.69170018e+09]
[-1.70676942e-01  7.09971715e-03  1.69170018e+09]
[-1.76019776e-01  6.98464071e-03  1.69170018e+09]
[-1.82727089e-01  6.98464071e-03  1.69170018e+09]
[-1.84847783e-01  6.91888275e-03  1.69170018e+09]
[-1.88300077e-01  6.90244326e-03  1.69170018e+09]
[-1.83170955e-01  6.85312479e-03  1.69170018e+09]
[-1.80573516e-01  6.86956428e-03  1.69170018e+09]
[-1.76923948e-01  6.83668530e-03  1.69170018e+09]
[-1.70298833e-01  6.80380631e-03  1.69170018e+09]
[-1.52560622e-01  6.77092733e-03  1.69170018e+09]
[-9.25400385e-02  6.73804835e-03  1.69170018e+09]
[-3.56265199e-02  1.55167365e-02  1.69170018e+09]
[-1.36633599e-02  3.97978643e-02  1.69170018e+09]
[-7.91238478e-04  4.40063739e-02  1.69170018e+09]
[5.52152603e-03 5.15192211e-02 1.69170018e+09]
[5.57084450e-03 9.51496289e-02 1.69170018e+09]
[5.42288908e-03 1.11605559e-01 1.69170018e+09]
[5.42288908e-03 1.21255539e-01 1.69170018e+09]
[5.60372348e-03 1.18970450e-01 1.69170018e+09]
[5.45576806e-03 9.61688773e-02 1.69170018e+09]
[5.53796552e-03 3.54578388e-02 1.69170018e+09]
[5.60372348e-03 1.13246663e-02 1.69170018e+09]
[5.66948144e-03 8.00388915e-03 1.69170018e+09]
[-2.61902520e-02  7.39562799e-03  1.69170018e+09]
[-6.32941835e-02  7.11615664e-03  1.69170018e+09]
[-7.85664709e-02  6.93532224e-03  1.69170018e+09]
[-7.76951779e-02  6.73804835e-03  1.69170018e+09]
[-7.47196299e-02  6.65585090e-03  1.69170018e+09]
[-7.11193813e-02  6.55721395e-03  1.69170018e+09]
[-6.73218589e-02  6.47501650e-03  1.69170018e+09]
[-5.69485399e-02  6.35994006e-03  1.69170018e+09]
[-4.93041765e-02  6.35994006e-03  1.69170018e+09]
[-3.42127237e-02  6.35994006e-03  1.69170018e+09]
[-1.10494808e-02  6.22842413e-03  1.69170018e+09]
[-2.40230859e-03  6.21198464e-03  1.69170018e+09]
[1.78691486e-04 6.24486362e-03 1.69170018e+09]
[1.36233483e-03 6.14622668e-03 1.69170018e+09]
[1.23081890e-03 6.08046872e-03 1.69170018e+09]
[6.55436722e-04 6.17910566e-03 1.69170018e+09]
[-6.59722551e-04  7.70797831e-03  1.69170018e+09]
[-1.69541048e-03  7.70797831e-03  1.69170018e+09]
[-2.61602197e-03  7.92169169e-03  1.69170018e+09]
[-2.40230859e-03  8.41487642e-03  1.69170018e+09]
[-2.43518757e-03  8.66146878e-03  1.69170018e+09]
[-2.79685637e-03  8.62858980e-03  1.69170018e+09]
[-3.65170990e-03  8.94094013e-03  1.69170018e+09]
[-4.06269717e-03  9.08889554e-03  1.69170018e+09]
[-4.76959528e-03  9.26972994e-03  1.69170018e+09]
[-5.82172270e-03  9.51632231e-03  1.69170018e+09]
[-6.98892656e-03  9.82867263e-03  1.69170018e+09]
[-7.41635332e-03  9.82867263e-03  1.69170018e+09]
[-8.15613041e-03  1.00095070e-02  1.69170018e+09]
[-8.87946802e-03  1.03218574e-02  1.69170018e+09]
[-9.37265275e-03  1.05191312e-02  1.69170018e+09]
[-1.01453088e-02  1.11273924e-02  1.69170018e+09]
[-1.33674491e-02  1.19164880e-02  1.69170018e+09]
[-2.34612965e-02  1.22945963e-02  1.69170018e+09]
[-2.35763730e-02  1.16534561e-02  1.69170018e+09]
[-2.12090863e-02  6.47501650e-03  1.69170018e+09]
[-3.08919465e-02  3.53234763e-03  1.69170018e+09]
[-5.98912088e-02  3.28575527e-03  1.69170018e+09]
[-9.36908029e-02  3.26931577e-03  1.69170018e+09]
[-1.17117078e-01  3.26931577e-03  1.69170018e+09]
[-1.17330792e-01  3.18711832e-03  1.69170018e+09]
[-1.13204479e-01  3.18711832e-03  1.69170018e+09]
[-1.02864039e-01  3.12136036e-03  1.69170018e+09]
[-6.91302029e-02  2.98984443e-03  1.69170018e+09]
[-2.94781502e-02  3.00628392e-03  1.69170018e+09]
[-4.01337870e-03  6.49145599e-03  1.69170018e+09]
